# gpu    sm   mem   enc   dec  mclk  pclk    fb  bar1 rxpci txpci
# Idx     %     %     %     %   MHz   MHz    MB    MB  MB/s  MB/s
    0     0     0     0     0  5000   585  1553     7     0     0
    0     4     0     0     0  5000   585  1862     9   361    28
    0    14     3     0     0  5000   585  2192     9   309    25
    0    65    53     0     0  5000  1590  2412     9    62     6
    0    49    30     0     0  5000  1590  2416     9   447    26
    0    38    19     0     0  5000  1590  2724     9   256    49
    0    11     3     0     0  5000  1590  2724     9     0     0
    0     0     0     0     0  5000   795  2724     9     0     0
    0     0     0     0     0  5000   585  2724     9     1     0
    0     0     0     0     0  5000   585  2724     9     0     0
    0    23     5     0     3  5000   585  2406     9     0     9
    0    21     4     0     2  5000   585  2406     9     7     0
    0    21     4     0     1  5000   585  2406     9     0    10
    0    21     4     0     2  5000   585  2406     9     6     0
    0    21     4     0     2  5000   585  2406     9     0     9
    0    22     5     0     1  5000   585  2406     9    10     0
    0    21     4     0     2  5000   585  2406     9     0     9
    0    21     4     0     1  5000   585  2406     9     7     9
    0    21     4     0     2  5000   585  2406     9     7     9
    0    21     4     0     1  5000   585  2406     9     7     0
    0    21     4     0     2  5000   585  2406     9    41     0
    0    21     5     0     2  5000   585  2406     9     0    10
    0    21     4     0     2  5000   585  2406     9    34     0
    0    21     4     0     2  5000   585  2406     9     0    10
    0    21     4     0     1  5000   585  2406     9     6     4
    0    21     4     0     2  5000   585  2406     9     1     9
    0    21     4     0     2  5000   585  2406     9     6     1
    0    21     4     0     2  5000   585  2406     9     0     9
    0    22     5     0     1  5000   585  2406     9     6     0
    0    21     4     0     2  5000   585  2406     9     0     9
    0    21     4     0     2  5000   585  2406     9     6     2
    0    21     4     0     2  5000   585  2406     9     0     9
    0    21     4     0     1  5000   585  2406     9     6    10
    0    21     4     0     1  5000   585  2406     9     0     0
    0     0     0     0     0  5000   585  1537     7     0     0
